# Constructed from biom file
#OTU ID	SRR7133893	SRR7133971	SRR7133957	SRR7133958	SRR7133961	SRR7133972	SRR7133974	SRR7133987	SRR7134059	SRR7134060	SRR7134064	SRR7134067	SRR7134068	SRR7134138	SRR7134150	SRR7134151	SRR7134212	SRR7134213	SRR7134214	SRR7134300	SRR7134307	SRR7134308	SRR7134210	SRR7133899	SRR7133967	SRR7133973	SRR7133975	SRR7133976	SRR7133983	SRR7133984	SRR7133985	SRR7134008	SRR7134062	SRR7134065	SRR7134066	SRR7134071	SRR7134147	SRR7134305	SRR7133965	SRR7134072	SRR7133852	SRR7133977	SRR7133892	SRR7133895	SRR7133902	SRR7133969	SRR7133970	SRR7133979	SRR7133981	SRR7134070	SRR7134303	SRR7134306	SRR7134209	SRR7134301	SRR7133898	SRR7133966	SRR7133978	SRR7133982	SRR7133986	SRR7134055	SRR7134073	SRR7134152	SRR7134205	SRR7134211	SRR7133896	SRR7134056	SRR7134208	SRR7134053	SRR7133960	SRR7134302	SRR7133897	SRR7133963	SRR7133964	SRR7134061	SRR7134146	SRR7134149	SRR7134155	SRR7134206	SRR7134304	SRR7134054	SRR7133962	SRR7133980	SRR7133988	SRR7134063	SRR7134137	SRR7134207	SRR7134215	SRR7134309	SRR7133989	SRR7134058	SRR7134057	SRR7134153	taxonomy
4399988	0.0	50.0	4684.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	0.0	9024.0	488.0	0.0	0.0	0.0	0.0	818.0	13.0	1704.0	104.0	0.0	21.0	0.0	0.0	0.0	88.0	5224.0	0.0	255.0	2740.0	1581.0	0.0	0.0	0.0	5454.0	117.0	0.0	324.0	0.0	1954.0	0.0	0.0	0.0	0.0	0.0	0.0	8038.0	9888.0	0.0	601.0	8109.0	0.0	0.0	10107.0	0.0	0.0	1889.0	318.0	0.0	819.0	955.0	198.0	26.0	2474.0	205.0	22.0	127.0	9.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pantoea; s__agglomerans
4451011	36.0	0.0	0.0	22.0	0.0	11156.0	0.0	0.0	83.0	13588.0	62.0	12985.0	12606.0	0.0	699.0	0.0	13061.0	4241.0	31.0	0.0	0.0	0.0	79.0	4.0	0.0	19.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	13.0	8.0	0.0	0.0	0.0	0.0	13441.0	0.0	1060.0	0.0	16.0	9430.0	0.0	10119.0	7881.0	20.0	3883.0	13679.0	8795.0	0.0	0.0	10.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	12501.0	89.0	3406.0	0.0	8.0	4200.0	0.0	72.0	6.0	0.0	0.0	8500.0	0.0	21.0	0.0	10277.0	9487.0	7812.0	13350.0	9610.0	8309.0	10657.0	6893.0	25.0	10281.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
4451045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	1157.0	950.0	0.0	0.0	0.0	375.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__
4362942	0.0	0.0	0.0	3.0	0.0	1.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1284.0	0.0	0.0	0.0	0.0	0.0	481.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	883.0	0.0	0.0	0.0	0.0	0.0	0.0	722.0	443.0	0.0	0.0	318.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	867.0	609.0	0.0	491.0	749.0	0.0	184.0	134.0	819.0	530.0	0.0	0.0	308.0	307.0	380.0	233.0	0.0	137.0	0.0	0.0	452.0	337.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1583.0	0.0	923.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__
677049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
9994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	3.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Dickeya; s__
4449851	0.0	0.0	0.0	25.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	29.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	446.0	0.0	0.0	27.0	0.0	580.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	264.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
364538	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	260.0	0.0	0.0	0.0	0.0	20.0	374.0	0.0	316.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
1139932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
4473756	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__
